11	18
20	16
20	15
18	10
12	11
19	20
17	14
19	10
12	15
16	12
20	16
13	16
19	17
20	12
16	11
12	11
11	11
19	18
12	10
11	15
15	18
18	18
15	12
17	14
13	16
10	14
11	10
15	14
12	10
13	19
18	17
17	20
13	10
10	12
13	16
13	19
15	13
13	17
13	20
14	10
12	11
10	12
15	17
13	18
15	17
18	13
14	13
11	19
13	16
11	14
18	14
14	12
17	19
15	10
19	13
10	14
13	12
20	19
17	12
15	16
10	15
15	10
14	19
20	17
12	13
10	19
11	18
10	11
12	16
16	10
15	19
15	20
19	18
19	10
14	11
18	16
12	18
14	16
14	18
13	11
19	15
18	13
13	11
18	20
20	12
17	13
20	20
10	11
14	18
16	14
15	12
19	19
15	14
11	19
19	20
15	17
19	12
16	15
19	14
17	18
