27	23
24	23
30	28
26	18
27	30
23	15
21	30
30	25
30	17
29	24
28	23
21	28
27	25
16	29
24	28
16	25
20	15
16	16
15	21
28	15
22	27
17	26
17	27
18	29
19	25
21	16
26	21
26	28
30	21
19	29
20	16
28	17
21	25
25	19
23	21
18	24
18	29
20	28
20	28
20	20
17	17
20	15
30	17
21	16
26	19
19	17
25	29
22	15
16	28
26	25
20	20
15	30
30	26
22	17
27	19
24	22
28	25
18	19
22	26
23	19
29	21
30	17
22	29
27	27
21	21
30	24
30	23
24	26
28	27
18	26
20	30
20	19
16	27
24	19
29	30
28	25
21	20
30	17
28	16
18	26
21	30
17	17
24	20
25	15
20	29
29	16
16	26
19	28
15	21
17	27
22	17
27	21
22	24
16	22
25	24
26	15
19	19
16	16
26	24
21	28
